x1,x2,F1,F2
-0.428000,-0.428000,0.043230,0.354079
-0.426000,-0.426000,0.043610,0.355547
-0.424000,-0.424000,0.044000,0.357021
-0.422000,-0.422000,0.044390,0.358499
-0.420000,-0.420000,0.044790,0.359981
-0.418000,-0.418000,0.045180,0.361468
-0.416000,-0.416000,0.045580,0.362960
-0.414000,-0.414000,0.045990,0.364456
-0.412000,-0.412000,0.046390,0.365956
-0.410000,-0.410000,0.046800,0.367461
-0.408000,-0.408000,0.047220,0.368971
-0.406000,-0.406000,0.047640,0.370485
-0.404000,-0.404000,0.048060,0.372004
-0.402000,-0.402000,0.048480,0.373527
-0.400000,-0.400000,0.048910,0.375055
-0.398000,-0.398000,0.049340,0.376587
-0.396000,-0.396000,0.049780,0.378123
-0.394000,-0.394000,0.050220,0.379664
-0.392000,-0.392000,0.050660,0.381209
-0.390000,-0.390000,0.051110,0.382759
-0.388000,-0.388000,0.051560,0.384313
-0.386000,-0.386000,0.052010,0.385871
-0.384000,-0.384000,0.052470,0.387434
-0.382000,-0.382000,0.052930,0.389001
-0.380000,-0.380000,0.053400,0.390573
-0.378000,-0.378000,0.053860,0.392149
-0.376000,-0.376000,0.054340,0.393729
-0.374000,-0.374000,0.054810,0.395313
-0.372000,-0.372000,0.055300,0.396902
-0.370000,-0.370000,0.055780,0.398495
-0.368000,-0.368000,0.056270,0.400092
-0.366000,-0.366000,0.056760,0.401693
-0.364000,-0.364000,0.057260,0.403298
-0.362000,-0.362000,0.057760,0.404908
-0.360000,-0.360000,0.058270,0.406522
-0.358000,-0.358000,0.058780,0.408139
-0.356000,-0.356000,0.059290,0.409761
-0.354000,-0.354000,0.059810,0.411387
-0.352000,-0.352000,0.060330,0.413017
-0.350000,-0.350000,0.060860,0.414651
-0.348000,-0.348000,0.061390,0.416289
-0.346000,-0.346000,0.061920,0.417931
-0.344000,-0.344000,0.062460,0.419577
-0.342000,-0.342000,0.063010,0.421227
-0.340000,-0.340000,0.063550,0.422881
-0.338000,-0.338000,0.064110,0.424538
-0.336000,-0.336000,0.064660,0.426200
-0.334000,-0.334000,0.065230,0.427865
-0.332000,-0.332000,0.065790,0.429534
-0.330000,-0.330000,0.066360,0.431207
-0.328000,-0.328000,0.066940,0.432883
-0.326000,-0.326000,0.067520,0.434563
-0.324000,-0.324000,0.068100,0.436247
-0.322000,-0.322000,0.068690,0.437934
-0.320000,-0.320000,0.069290,0.439625
-0.318000,-0.318000,0.069890,0.441320
-0.316000,-0.316000,0.070490,0.443017
-0.314000,-0.314000,0.071100,0.444719
-0.312000,-0.312000,0.071710,0.446424
-0.310000,-0.310000,0.072330,0.448132
-0.308000,-0.308000,0.072950,0.449844
-0.306000,-0.306000,0.073580,0.451558
-0.304000,-0.304000,0.074220,0.453277
-0.302000,-0.302000,0.074850,0.454998
-0.300000,-0.300000,0.075500,0.456723
-0.298000,-0.298000,0.076150,0.458450
-0.296000,-0.296000,0.076800,0.460181
-0.294000,-0.294000,0.077460,0.461915
-0.292000,-0.292000,0.078120,0.463652
-0.290000,-0.290000,0.078790,0.465392
-0.288000,-0.288000,0.079460,0.467135
-0.286000,-0.286000,0.080140,0.468881
-0.284000,-0.284000,0.080830,0.470629
-0.282000,-0.282000,0.081520,0.472380
-0.280000,-0.280000,0.082210,0.474135
-0.278000,-0.278000,0.082910,0.475891
-0.276000,-0.276000,0.083620,0.477651
