th13,dm31,real,walker
0.0256824,2.51535,0.250306,1
0.0262564,2.5533,0.266836,1
0.0283715,2.58316,0.441022,1
0.0268395,2.55348,0.312898,1
0.0268395,2.55348,0.312898,1
0.0259838,2.52186,0.255608,1
0.0255592,2.53085,0.2171,1
0.0224876,2.60904,0.013153,1
0.02218,2.57457,-0.0442905,1
0.02218,2.57457,-0.0442905,1
0.02218,2.57457,-0.0442905,1
0.02218,2.57457,-0.0442905,1
0.02218,2.57457,-0.0442905,1
0.02218,2.57457,-0.0442905,1
0.0221498,2.53043,-0.0298077,1
0.0221498,2.53043,-0.0298077,1
0.0217308,2.55016,-0.0702065,1
0.0220211,2.4966,-0.0328469,1
0.0220211,2.4966,-0.0328469,1
0.0221608,2.49009,-0.00130471,1
0.0221608,2.49009,-0.00130471,1
0.0221608,2.49009,-0.00130471,1
0.0221608,2.49009,-0.00130471,1
0.0226532,2.45782,0.141432,1
0.0226532,2.45782,0.141432,1
0.0226532,2.45782,0.141432,1
0.0226532,2.45782,0.141432,1
0.0226532,2.45782,0.141432,1
0.0226532,2.45782,0.141432,1
0.0226532,2.45782,0.141432,1
0.0226532,2.45782,0.141432,1
0.0225522,2.46398,0.140221,1
0.0225522,2.46398,0.140221,1
0.0224693,2.47093,0.0692811,1
0.0229179,2.47143,0.064908,1
0.0229179,2.47143,0.064908,1
0.0229179,2.47143,0.064908,1
0.0229179,2.47143,0.064908,1
0.0218924,2.51982,-0.029783,1
0.0218924,2.51982,-0.029783,1
0.0218924,2.51982,-0.029783,1
0.0218924,2.51982,-0.029783,1
0.0218924,2.51982,-0.029783,1
0.0218924,2.51982,-0.029783,1
0.0218924,2.51982,-0.029783,1
0.0218924,2.51982,-0.029783,1
0.0218924,2.51982,-0.029783,1
0.0217651,2.52078,-0.0650209,1
0.0217649,2.47163,-0.0201527,1
0.0217649,2.47163,-0.0201527,1
0.0218305,2.46855,-0.000128732,1
0.0217017,2.47525,-0.0476043,1
0.0217017,2.47525,-0.0476043,1
0.0217017,2.47525,-0.0476043,1
0.0217017,2.47525,-0.0476043,1
0.0219639,2.46591,-0.00666475,1
0.0219639,2.46591,-0.00666475,1
0.0213901,2.42768,-0.0791448,1
0.0209972,2.41108,-0.127765,1
0.0213451,2.46177,-0.116722,1
0.0200825,2.41824,-0.279981,1
0.0197282,2.42897,-0.297683,1
0.0207535,2.45494,-0.157172,1
0.0207535,2.45494,-0.157172,1
0.0212101,2.47896,-0.142493,1
0.0212101,2.47896,-0.142493,1
0.0212101,2.47896,-0.142493,1
0.0212101,2.47896,-0.142493,1
0.0212101,2.47896,-0.142493,1
0.0212101,2.47896,-0.142493,1
0.0212101,2.47896,-0.142493,1
0.0234969,2.50432,0.0778049,1
0.0234969,2.50432,0.0778049,1
0.0234969,2.50432,0.0778049,1
0.0234969,2.50432,0.0778049,1
0.0234969,2.50432,0.0778049,1
0.0234969,2.50432,0.0778049,1
0.0253178,2.48407,0.257862,1
0.0273466,2.49245,0.467669,1
0.0273466,2.49245,0.467669,1
0.0272131,2.49318,0.457688,1
0.0272131,2.49318,0.457688,1
0.0272131,2.49318,0.457688,1
0.0272131,2.49318,0.457688,1
0.028103,2.45664,0.525478,1
0.0293916,2.5224,0.56621,1
0.0293916,2.5224,0.56621,1
0.0293916,2.5224,0.56621,1
0.0293916,2.5224,0.56621,1
0.0293916,2.5224,0.56621,1
0.0293916,2.5224,0.56621,1
0.0293916,2.5224,0.56621,1
0.0293916,2.5224,0.56621,1
0.0293916,2.5224,0.56621,1
0.0293916,2.5224,0.56621,1
0.0287536,2.51311,0.528293,1
0.0287536,2.51311,0.528293,1
0.0286588,2.56455,0.535105,1
0.0286588,2.56455,0.535105,1
