th13,dm31,walker
0.0228065,2.44359,2
0.0227466,2.44873,2
0.0228539,2.43155,2
0.0223405,2.51816,3
0.0223405,2.51816,3
0.022199,2.51684,3
0.022199,2.51684,3
0.0222332,2.52264,3
0.02201,2.4865,3
0.0220803,2.4872,3
0.0220803,2.4872,3
0.0221641,2.5196,3
0.0221641,2.5196,3
0.0221301,2.51115,3
0.0221082,2.51781,3
0.0219968,2.55359,3
0.0219968,2.55359,3
0.0219968,2.55359,3
0.0219968,2.55359,3
0.0220757,2.57855,3
0.0220757,2.57855,3
0.0220757,2.57855,3
0.0220757,2.57855,3
0.0220757,2.57855,3
0.0220757,2.57855,3
0.0221364,2.58727,3
0.0221437,2.58562,3
0.0221437,2.58562,3
0.0221437,2.58562,3
0.0221335,2.5858,3
0.0221335,2.5858,3
0.0224168,2.57428,3
0.0224289,2.53266,3
0.0222566,2.56477,3
0.0222566,2.56477,3
0.022272,2.56139,3
0.0224148,2.5727,3
0.0224148,2.5727,3
0.0219105,2.54878,3
0.0219119,2.53125,3
0.0222008,2.50389,3
0.0222008,2.50389,3
0.0221416,2.48513,3
0.0224261,2.49627,3
0.0226054,2.51164,3
0.0225963,2.5159,3
0.0225981,2.51606,3
0.022604,2.51475,3
0.0226208,2.51046,3
0.0224482,2.51017,3
0.0222219,2.4975,3
0.0222219,2.4975,3
0.02201,2.51357,3
0.0220195,2.50057,3
0.02228,2.50402,3
0.0222462,2.50238,3
0.0221849,2.54006,3
0.0221385,2.53284,3
0.0221385,2.53284,3
0.022193,2.53375,3
0.0225122,2.53137,3
0.0225122,2.53137,3
0.0225122,2.53137,3
0.0226236,2.53752,3
0.0224858,2.52211,3
0.022638,2.53449,3
0.0226197,2.53247,3
0.0226346,2.52533,3
0.0223907,2.50947,3
0.0223907,2.50948,3
0.0226998,2.51837,3
0.0227662,2.51759,3
0.0232649,2.53928,3
0.0233705,2.54172,3
0.0233705,2.54172,3
0.0236496,2.53732,3
0.0229671,2.49461,3
0.0234049,2.50254,3
0.0234049,2.50254,3
0.0227507,2.52352,3
